listing_id,listing_title,listing_rent_eur,listing_size_mq,listing_neighborhood,profile_id,profile_gender,profile_national_background,profile_national_background_label,profile_income_level,profile_income_eur,profile_employment,profile_marital,profile_children,fit,motivation
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_male_1,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"Annual income of EUR 12,000 (~EUR 1,000/month) is insufficient for the EUR 890/month rent, which would consume nearly 90% of monthly income, well above the typical 30-40% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_male_2,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"The applicant's annual income of €12,000 (~€1,000/month) is insufficient to sustainably afford the €890/month rent, which would consume nearly 89% of monthly income, far exceeding the typical 30-35% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_male_1,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"Annual income of €12,000 (€1,000/month) is insufficient to sustainably cover €890/month rent, leaving almost nothing for living expenses; a rent-to-income ratio of ~89% poses a high default risk."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_male_2,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (EUR 1,000/month) is far too low to comfortably afford EUR 890/month rent, resulting in a rent-to-income ratio of nearly 89%, well above the typical 30-40% threshold landlords require for financial viability."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_male_1,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"The applicant's annual income of €12,000 (~€1,000/month) is insufficient to comfortably afford €890/month rent, which would consume approximately 89% of monthly income, far exceeding standard affordability thresholds (typically 30-40%)."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_male_2,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (approximately EUR 1,000/month) is insufficient to cover the EUR 890/month rent, leaving virtually nothing for living expenses. Standard affordability requires rent to be at most 30-40% of monthly income; here it would exceed 85%."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_male_1,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"The applicant's annual income of €12,000 (≈€1,000/month) would commit roughly 89% of gross income to rent alone, leaving insufficient margin for utilities, food, and other living costs, which represents a meaningful affordability and default-risk concern for a €890/month tenancy."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_male_2,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"Gross income of approximately EUR 1,000/month is insufficient to cover the EUR 890/month rent (rent would consume ~89% of income), leaving no margin for living expenses; standard Italian landlord requirements typically demand verified income of 2-3x monthly rent."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_male_1,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"The applicant's annual income of €12,000 (€1,000/month) cannot sustainably support €890/month rent, which would consume roughly 89% of gross income and leave insufficient funds for living expenses."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_male_2,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (approx. EUR 1,000/month) is insufficient to cover the EUR 890/month rent, resulting in a rent-to-income ratio of ~89%, which is well above the sustainable threshold of 30-40% and indicates the tenant would be unable to meet living expenses."
