listing_id,profile_id,fit
A3,S11_memn_eu_foreigner_male_1,Yes
A3,S11_memn_local_citizen_male_2,Yes
A3,S20_hemy_local_citizen_female_2,Yes
A3,S01_lesn_second_gen_male_2,No
A3,S14_musy_non_eu_foreigner_male_2,No
A3,S11_memn_local_citizen_female_1,Yes
A3,S01_lesn_local_citizen_male_2,No
A3,S14_musy_local_citizen_female_1,No
A3,S01_lesn_non_eu_foreigner_female_2,No
A3,S14_musy_second_gen_female_1,No
A3,S14_musy_eu_foreigner_female_2,No
A3,S01_lesn_local_citizen_female_1,No
A3,S11_memn_non_eu_foreigner_female_2,Yes
A3,S11_memn_refugee_female_1,Yes
A3,S14_musy_eu_foreigner_female_1,No
A3,S11_memn_non_eu_foreigner_male_2,Yes
A3,S11_memn_second_gen_male_1,Yes
A3,S20_hemy_eu_foreigner_female_1,Yes
A3,S14_musy_refugee_female_1,No
A3,S04_lemy_refugee_female_2,No
A3,S04_lemy_local_citizen_female_1,No
A3,S04_lemy_local_citizen_male_2,No
A3,S04_lemy_eu_foreigner_female_1,No
A3,S20_hemy_refugee_female_1,Yes
A3,S20_hemy_local_citizen_male_1,Yes
A3,S11_memn_second_gen_male_2,Yes
A3,S20_hemy_eu_foreigner_male_2,Yes
A3,S04_lemy_refugee_male_1,No
A3,S20_hemy_refugee_male_2,Yes
A3,S04_lemy_eu_foreigner_female_2,No
A3,S01_lesn_second_gen_male_1,No
A3,S11_memn_refugee_male_2,Yes
A3,S11_memn_second_gen_female_2,Yes
A3,S14_musy_eu_foreigner_male_2,No
A3,S14_musy_non_eu_foreigner_female_1,No
A3,S11_memn_non_eu_foreigner_male_1,Yes
A3,S20_hemy_second_gen_female_1,No
A3,S11_memn_eu_foreigner_female_1,Yes
A3,S20_hemy_non_eu_foreigner_male_2,No
A3,S01_lesn_eu_foreigner_female_1,No
A3,S04_lemy_refugee_female_1,No
A3,S04_lemy_eu_foreigner_male_2,No
A3,S04_lemy_second_gen_female_2,No
A3,S11_memn_local_citizen_male_1,Yes
A3,S01_lesn_second_gen_female_1,No
A3,S14_musy_refugee_male_1,No
A3,S14_musy_local_citizen_male_2,No
A3,S14_musy_local_citizen_male_1,No
A3,S01_lesn_refugee_male_2,No
A3,S04_lemy_non_eu_foreigner_female_1,No
A3,S20_hemy_second_gen_female_2,Yes
A3,S11_memn_refugee_male_1,No
A3,S01_lesn_eu_foreigner_male_1,No
A3,S11_memn_local_citizen_female_2,No
A3,S01_lesn_refugee_female_1,No
A3,S04_lemy_second_gen_female_1,No
A3,S11_memn_second_gen_female_1,No
A3,S14_musy_second_gen_male_1,No
A3,S04_lemy_eu_foreigner_male_1,No
A3,S14_musy_eu_foreigner_male_1,No
A3,S04_lemy_non_eu_foreigner_male_1,No
A3,S01_lesn_non_eu_foreigner_male_2,No
A3,S01_lesn_refugee_male_1,No
A3,S14_musy_refugee_male_2,No
A3,S20_hemy_eu_foreigner_male_1,Yes
A3,S01_lesn_second_gen_female_2,No
A3,S14_musy_second_gen_female_2,No
A3,S11_memn_eu_foreigner_male_2,Yes
A3,S20_hemy_local_citizen_female_1,Yes
A3,S04_lemy_local_citizen_male_1,No
A3,S01_lesn_local_citizen_male_1,No
A3,S20_hemy_non_eu_foreigner_female_2,Yes
A3,S11_memn_refugee_female_2,Yes
A3,S20_hemy_eu_foreigner_female_2,Yes
A3,S11_memn_eu_foreigner_female_2,Yes
A3,S20_hemy_second_gen_male_2,Yes
A3,S04_lemy_non_eu_foreigner_male_2,No
A3,S14_musy_local_citizen_female_2,No
A3,S20_hemy_non_eu_foreigner_male_1,Yes
A3,S14_musy_refugee_female_2,No
A3,S14_musy_non_eu_foreigner_male_1,No
A3,S04_lemy_second_gen_male_2,No
A3,S04_lemy_refugee_male_2,No
A3,S20_hemy_second_gen_male_1,Yes
A3,S20_hemy_refugee_female_2,Yes
A3,S01_lesn_non_eu_foreigner_male_1,No
A3,S11_memn_non_eu_foreigner_female_1,Yes
A3,S14_musy_non_eu_foreigner_female_2,No
A3,S01_lesn_local_citizen_female_2,No
A3,S14_musy_second_gen_male_2,No
A3,S20_hemy_refugee_male_1,Yes
A3,S01_lesn_eu_foreigner_female_2,No
A3,S01_lesn_refugee_female_2,No
A3,S04_lemy_second_gen_male_1,No
A3,S04_lemy_local_citizen_female_2,No
A3,S04_lemy_non_eu_foreigner_female_2,No
A3,S20_hemy_non_eu_foreigner_female_1,Yes
A3,S01_lesn_eu_foreigner_male_2,No
A3,S01_lesn_non_eu_foreigner_female_1,No
A3,S20_hemy_local_citizen_male_2,Yes
