Apt,Apt Name,Rent EUR,Size m2,Neighborhood,Profile ID,Gender,Nationality,Nationality Label,Income,Income EUR,Employment,Marital,Kids,Fit,Motivation
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_male_1,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"Annual income of EUR 12,000 (~EUR 1,000/month) is insufficient for the EUR 890/month rent, which would consume nearly 90% of monthly income, well above the typical 30-40% affordability threshold."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_local_citizen_male_2,male,local_citizen,"Local citizen (Italian citizen, born in Italy)",low,12000,employed,single,no,No,"The applicant's annual income of EUR12,000 (~EUR1,000/month) is insufficient to sustainably afford the EUR890/month rent, which would consume nearly 89% of monthly income, far exceeding the typical..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_male_1,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"Annual income of EUR12,000 (EUR1,000/month) is insufficient to sustainably cover EUR890/month rent, leaving almost nothing for living expenses; a rent-to-income ratio of ~89% poses a high default r..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_eu_foreigner_male_2,male,eu_foreigner,EU foreigner (citizen of an EU member state),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (EUR 1,000/month) is far too low to comfortably afford EUR 890/month rent, resulting in a rent-to-income ratio of nearly 89%, well above the typical 30-4..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_male_1,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"The applicant's annual income of EUR12,000 (~EUR1,000/month) is insufficient to comfortably afford EUR890/month rent, which would consume approximately 89% of monthly income, far exceeding standard..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_non_eu_foreigner_male_2,male,non_eu_foreigner,Non-EU foreigner (with valid Italian residency permit),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (approximately EUR 1,000/month) is insufficient to cover the EUR 890/month rent, leaving virtually nothing for living expenses. Standard affordability re..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_male_1,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"The applicant's annual income of EUR12,000 (≈EUR1,000/month) would commit roughly 89% of gross income to rent alone, leaving insufficient margin for utilities, food, and other living costs, which r..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_refugee_male_2,male,refugee,Refugee / asylum-seeker (with international protection status),low,12000,employed,single,no,No,"Gross income of approximately EUR 1,000/month is insufficient to cover the EUR 890/month rent (rent would consume ~89% of income), leaving no margin for living expenses; standard Italian landlord r..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_male_1,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"The applicant's annual income of EUR12,000 (EUR1,000/month) cannot sustainably support EUR890/month rent, which would consume roughly 89% of gross income and leave insufficient funds for living exp..."
A3,Furnished Flat with Double Exposure,890,60,Vanchiglia,S01_lesn_second_gen_male_2,male,second_gen,Second-generation immigrant (born in Italy to immigrant parents),low,12000,employed,single,no,No,"The applicant's annual income of EUR 12,000 (approx. EUR 1,000/month) is insufficient to cover the EUR 890/month rent, resulting in a rent-to-income ratio of ~89%, which is well above the sustainab..."
